product_id,product_name,category,unit_cost,selling_price
PROD-101,Enterprise Cloud Suite,Cloud Infrastructure,45000.0,95000.0
PROD-102,Data Analytics Platform,Enterprise Software,35000.0,78000.0
PROD-103,AI Model Hosting Node,Cloud Infrastructure,25000.0,55000.0
PROD-104,High-Performance Workstation,Hardware Workstations,65000.0,120000.0
PROD-105,Developer Workstation Pro,Hardware Workstations,40000.0,75000.0
PROD-106,Security Shield SaaS,SaaS Subscriptions,8000.0,22000.0
PROD-107,CRM Enterprise Edition,SaaS Subscriptions,12000.0,32000.0
PROD-108,ERP Integration Core,Enterprise Software,85000.0,180000.0
PROD-109,BI Implementation Package,Consulting Services,60000.0,140000.0
PROD-110,DevOps Retainer Contract,Consulting Services,90000.0,210000.0
PROD-111,Edge Computing Appliance,Cloud Infrastructure,32000.0,68000.0
PROD-112,Cybersecurity Audit Suite,Enterprise Software,48000.0,110000.0
PROD-113,Cloud Infrastructure Module #13,Cloud Infrastructure,16375.59,29803.96
PROD-114,Enterprise Software Module #14,Enterprise Software,22674.59,38138.57
PROD-115,Consulting Services Module #15,Consulting Services,19781.64,38327.67
PROD-116,Cloud Infrastructure Module #16,Cloud Infrastructure,20153.24,35996.28
PROD-117,Consulting Services Module #17,Consulting Services,16459.48,28953.38
PROD-118,Consulting Services Module #18,Consulting Services,38073.59,74600.14
PROD-119,Hardware Workstations Module #19,Hardware Workstations,59518.68,95539.33
PROD-120,Enterprise Software Module #20,Enterprise Software,53397.67,99971.14
PROD-121,Enterprise Software Module #21,Enterprise Software,26842.26,59342.74
PROD-122,Cloud Infrastructure Module #22,Cloud Infrastructure,20101.02,33716.91
PROD-123,Hardware Workstations Module #23,Hardware Workstations,48204.93,108253.94
PROD-124,SaaS Subscriptions Module #24,SaaS Subscriptions,44492.55,105825.2
PROD-125,SaaS Subscriptions Module #25,SaaS Subscriptions,19334.01,35469.07
